Date,Open,High,Low,Close,Adj Close,Volume,year,day,month
2000-01-03,36.747459,38.944569,36.747459,38.944569,29.684193,28802010.0,2000,3,1
2000-01-04,39.981236,42.062302,38.882679,42.062302,32.060581,61320457.0,2000,4,1
2000-01-05,39.710464,44.545658,39.710464,43.710136,33.316586,173426953.0,2000,5,1
2000-01-06,44.715855,46.52615,44.715855,45.54364,34.714123,101355113.0,2000,6,1
2000-01-07,45.644211,49.187443,45.334759,48.669109,37.096405,128426756.0,2000,7,1
2000-01-10,49.110077,49.311222,47.237892,47.733013,36.382896,86714866.0,2000,10,1
2000-01-11,47.647915,48.112095,43.919018,44.638493,34.024197,81074352.0,2000,11,1
2000-01-12,44.715855,47.191475,43.655979,46.680878,35.58094,78264129.0,2000,12,1
2000-01-13,47.346199,48.955353,47.052219,48.251347,36.777977,110363002.0,2000,13,1
2000-01-14,47.887741,49.767666,47.887741,48.93988,37.302784,86996234.0,2000,14,1
2000-01-17,49.241596,49.961071,47.508663,47.771698,36.412384,69343031.0,2000,17,1
2000-01-18,47.810379,49.349903,47.276573,48.614956,37.055126,65168824.0,2000,18,1
2000-01-19,49.953335,50.270523,48.924408,49.450478,37.691978,74204601.0,2000,19,1
2000-01-20,49.512367,50.270523,48.050205,48.406075,36.89592,99716250.0,2000,20,1
2000-01-21,48.382866,50.812065,48.274555,50.494877,38.488033,110757441.0,2000,21,1
2000-01-24,50.363361,51.345871,49.821819,50.463932,38.464447,85074833.0,2000,24,1
2000-01-25,50.293732,50.332417,49.241596,49.504631,37.733257,63033619.0,2000,25,1
2000-01-26,49.504631,49.504631,49.504631,49.504631,37.733257,0.0,2000,26,1
2000-01-27,50.9049,52.111767,49.930126,51.825523,39.502274,97039553.0,2000,27,1
2000-01-28,51.972511,52.900867,51.30719,52.351589,39.903244,75838844.0,2000,28,1
2000-01-31,51.748158,51.987984,50.525822,50.773384,38.700321,65866896.0,2000,31,1
2000-02-01,51.183407,52.212337,50.750175,51.686268,39.396133,69204877.0,2000,1,2
2000-02-02,53.055595,53.6745,52.382538,52.630096,40.115532,64312647.0,2000,2,2
2000-02-03,52.91634,53.14843,52.049873,52.862186,40.292435,43764594.0,2000,3,2
2000-02-04,53.225792,53.744125,52.869923,53.249001,40.587257,45932185.0,2000,4,2
2000-02-07,52.777088,54.06905,52.305172,53.163902,40.522411,52955762.0,2000,7,2
2000-02-08,53.457882,53.6745,52.769352,52.978233,40.380878,41561566.0,2000,8,2
2000-02-09,53.999424,54.873627,53.349575,54.216042,41.324375,73916538.0,2000,9,2
2000-02-10,53.968479,56.289371,53.365047,55.043827,41.955311,69752781.0,2000,10,2
2000-02-11,56.320316,57.867577,55.709148,56.212009,42.845722,52710076.0,2000,11,2
2000-02-14,55.546684,55.840664,54.154148,54.479076,41.524853,33138542.0,2000,14,2
2000-02-15,54.463604,54.834946,52.924076,53.279949,40.610859,52507848.0,2000,15,2
2000-02-16,54.154148,54.742111,53.08654,53.867908,41.05901,50905372.0,2000,16,2
2000-02-17,53.798279,55.206287,53.767334,54.858154,41.813793,49576753.0,2000,17,2
2000-02-18,55.22176,55.384224,53.8447,54.06905,41.212326,32513360.0,2000,18,2
2000-02-21,53.90659,54.463604,52.862186,53.481091,40.764179,19029776.0,2000,21,2
2000-02-22,53.535248,53.689972,51.446442,51.732685,39.431511,46483688.0,2000,22,2
